"","x"
"(Intercept)",-78.9314371472467
"pi_c_",58.4192888697771
"dy_",-85.6712386712998
"dc_",1.25737716846569
"di_",-3.81105083852229
"dE_",-158.043520798996
"pi_c_1",4.14972659354834
"dy_1",-0.926564319110315
"dc_1",8.78661754401086
"di_1",-5.03557685494598
"dE_1",-68.2566628501183
"pi_c_2",50.839037238919
"dy_2",1.58440952276003
"dc_2",-74.9761852953987
"di_2",17.2116954501545
"dE_2",86.5282087758338
