"tb3m","tb1y","tb2y","tb3y","tb5y","tb7y","tb10y","tb20y","tb30y","aaaboa","aaboa","aboa","bbbboa","aadefault","adefault","bbbdefault","sp500","sp500d","oil","gold","reitret","reitinc"
1,0.946168817489035,0.823387294240271,0.755845703834677,0.650620109136334,0.636783140501864,0.552748965088249,0.322708020338375,0.349689148508375,0.0136386721061739,-0.00171940276156951,-0.0230254349510938,0.0836201939512042,-0.495954252977524,-0.57388295498903,-0.400210131605651,0.372091769727423,-0.618065201972776,0.519864149081362,-0.173115405478587,-0.217452587234899,0.365214694292702
0,0.323673552845148,0.434112937006187,0.477293454040336,0.49931370929504,0.52504978435777,0.550154223035012,0.480620945955894,0.497033377351225,-0.0267600802957331,-0.0869762400109643,-0.0662132869635092,-0.614866276778705,-0.100090950697861,0.0316690863900409,0.0324421089775294,0.248853013360857,-0.123097309521221,-0.0591647677206144,-0.575856654708496,0.419040706091174,-0.509623710888314
0,0,0.365485049772967,0.439214414241073,0.505505682921216,0.453710734852664,0.444111717753436,0.451258580583707,0.160575856315309,-0.497605884598926,-0.549651558757665,-0.507444056769787,-0.269325093556184,0.247330777552,0.288870387215437,0.0530441181127177,0.591487459813868,0.266968515301456,0.0822732521716005,-0.401984403631158,0.314550152568843,-0.0489725724787793
0,0,0,0.0893248512328935,0.151837050607929,0.16634334772222,0.166729658882491,0.280270685130509,0.376883928758229,-0.541775710321795,-0.536340404329427,-0.515388272212654,-0.381192194820723,-0.393690005061709,-0.206588209895917,-0.268819698674793,0.0544649099859521,-0.30334296025001,0.0340581499884865,-0.146144733849191,0.084120327124248,0.163740320046933
0,0,0,0,0.220881886750573,0.252870825428328,0.297794142398966,0.17920918571261,0.286568207314801,0.0416379815580066,-0.0413825836576825,-0.0413802555134484,-0.226966631669828,-0.326850885422584,-0.277238296946404,-0.35576739014982,0.483526936584539,-0.249113285211116,-0.36079559240357,-0.300674195016605,0.661817376200206,0.00473694511986913
0,0,0,0,0,0.146160053754978,0.267230426217619,0.502475155948403,0.47249977974518,0.129691488363192,0.192085733652514,0.211296205610026,0.0745469511570766,-0.143939021773173,0.0662832704442797,0.230281486383311,0.095011612448538,-0.147786315516705,-0.404473905130667,0.178542710158323,-0.181561388998689,0.164355459708717
0,0,0,0,0,0,0.0816790274798037,0.0344200306966726,0.113318871937566,-0.0812468405776369,0.00979812980301481,-0.0143613267513241,-0.0690509192662986,-0.0576893123700237,0.0575175380325705,0.0831112104841582,0.153202767530788,-0.00201326968888459,0.0773753046329132,0.211714975865029,0.0029332133371457,-0.0776453698674171
0,0,0,0,0,0,0,0.311279815152691,0.214017400270524,0.205174060468744,0.189415646097555,0.216689353721333,0.316636852874567,0.313566696931736,0.316613622294197,0.45944229587817,-0.311498045847983,0.245108544378457,-0.0182571080575513,-0.162096792609224,-0.20743189093796,0.101402538761317
0,0,0,0,0,0,0,0,0.314367978916542,-0.461783164979361,-0.296237759302914,-0.373748234471855,-0.319093947193576,-0.00572990013028644,0.244119129118536,0.272048341987031,-0.0249751112358145,0.11852573311304,0.506949486754752,0.400206639961358,0.19406021211654,-0.338518719688002
0,0,0,0,0,0,0,0,0,0.421272606194683,0.467450700665681,0.46099028367583,0.28889599168023,0.486246004765256,0.451417221091718,0.465424989616482,0.134347878349679,0.4487792581875,0.0709469397251923,-0.00789390755509663,0.198386752842893,0.153780523946344
0,0,0,0,0,0,0,0,0,0,0.14766044405956,0.151591885003668,0.149183206121957,0.170618718568827,0.236793057563704,0.211647715475658,0.214394548071836,0.229573058630019,0.302987997086973,-0.00978333466106103,-0.131143658678042,0.308301484317283
0,0,0,0,0,0,0,0,0,0,0,0.0571162700321154,-0.00890017404362316,-0.0135856708689698,0.00254683906245845,-0.0439873015761088,0.0564535297285642,-0.0163503478089269,-0.0102370686451892,-0.0310784582236641,-0.0331845803541582,0.288076275864971
0,0,0,0,0,0,0,0,0,0,0,0,0.165495982830585,-0.0177299219166283,-0.0504260155342544,0.0453089661853486,-0.0457956343992268,0.0408261494175953,0.216227079447179,-0.228753345611928,-0.174279726483071,-0.324993667328847
0,0,0,0,0,0,0,0,0,0,0,0,0,0.180463560973161,0.183688607905605,0.143649696685286,0.023430704086742,0.150426211226997,0.0105442181190474,0.138568280429923,0.137095234310616,0.0773140192786566
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546832031603025,0.027351265169062,0.0337059732543791,0.0206813666255595,0.00989728853101205,0.0610258849519913,0.00202582398941901,0.0462588222336945
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728722640250243,-0.0497587099060762,0.0161933452819962,0.0539538856098851,0.012292927887483,-0.0371415160832604,-0.251841958041531
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968763847786342,0.00827684996471947,-0.00329973603841804,0.0508339829425933,0.0313648489349183,0.0438358396751763
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457960575211624,0.0597339356329369,-0.0770237744156323,0.0126187462960043,-0.0396293609512907
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104057569626142,-0.0867204506997708,-0.0366662875915948,-0.0157528487425107
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967386814826507,-0.00335615756233857,-0.0271264675294488
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934372828052007,-0.0483807023808159
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184623381888107
