var,y_s,last_y,imp,ex,q,c_m,i_m,i_d,pi_i,mc_d,mc_mc,mc_mi,u,H,gamma_cd,gamma_id,gamma_f,i_c,i_y,i_w,R_,pi_c_,pi_cbar_,pi_i_,pi_d_,dy_,dc_,di_,dimp_,dex_,dy_star_,pi_star_,R_star_,dE_,dS_,dw_,y,g,pi_cbar,pi_c,mc_x,kbar,k,x,R,a,gamma_mcd,gamma_mid,gamma_xstar,R_star,e_ystar,e_pistar,e_i,e_a,e_z,e_H,lambda_x,lambda_d,lambda_mc,lambda_mi,z_tildestar,AUX_ENDO_LAG_25_1,c,i,pi_d,pi_mc,pi_mi,pi_x,w,mu_z,E,y_star,e_c,i_k,r_k,P_k,dS,psi_z,pi_star,eps_c,eps_i,eps_g,eps_r,eps_a,eps_z,eps_H,eps_pi_cbar,eps_x,eps_d,eps_mc,eps_mi,eps_z_tildestar,eps_mu_z,eps_Rstar,eps_pistar,eps_ystar,eps_i_k,eps_i_y,me_w,me_E,me_pi_d,me_pi_i,me_y,me_c,me_i,me_imp,me_ex,me_ystar
dimp_,1.5482,-0.042619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009548,5.90E-03,0,0.16152,4.90E-03,-0.137193333,-4.76E-16,2.46E-04,-0.28224,0.050342,0.015461333,4.96E-03,-0.020414667,-0.203813333,0.017506,-0.212066667,0.017062,-0.068866667,-0.64968,0.095973333,-2.81E-04,0.420466667,-4.40E-04,-5.13E-03,0.046057333,0,-0.127733333,-0.019700667,0.034618,-0.331426667,-0.050406667,-0.0168,0.369233333,0.52638,1.43E-15,0,0.0706,0,0,0,0,0,0,0.079686667,0.024458,0.007238,-0.312533333,-0.097713333,-0.662173333,0.15308,0.356326667,-4.67E-04,0.434186667,-7.04E-04,-6.58E-03,0.050348,0.748266667,-0.21194,-0.247673333,0.020724,4.39E-08,0.000333333,0,0,0,5.88E-34,0,0,0,0.666666667,0,0
dex_,1.19E+00,2.71E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019061333,-0.013156,0,-0.038749333,-0.031032,-0.008103333,-5.91E-16,4.90E-04,-0.563446667,-0.07044,-0.065318,-0.007688,0.089986667,-3.237733333,-1.950266667,0.019674,2.69E-04,0.224506667,-0.018042,0.007204,-0.025619333,0.012683333,-9.63E-04,-2.56E-03,-0.12872,0,-0.010170667,4.75E-04,-3.51E-04,-0.20608,-0.007392,-0.500333333,0.014710667,0.489246667,-2.22E-15,-0.666666667,-0.008013333,0,0,0,0,0,0,-0.009044667,3.85E-04,-0.016142,-0.623926667,0.318533333,-0.018389333,0.01149,-0.025062667,-0.042633333,0.013097333,-1.54E-03,-3.28E-03,0.58806,0.695533333,-3.3668,0.022978,-2.3088,2.13E-09,1.33E-05,0,0,0,8.50E-35,0,0,0,0,0.666666667,0
dy_star_,1.1392,3.0389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10E-16,2.26E-16,0,1.66E-15,7.88E-16,2.31E-16,-3.79E-16,9.57E-17,6.33E-15,1.39E-16,-1.30E-15,2.38E-16,-3.16E-16,-2.346933333,-1.298266667,-1.184133333,-6.16E-16,-2.83E-15,-4.97E-15,8.69E-16,-2.53E-16,3.88E-15,-4.01E-17,2.40E-16,-0.056808,0,8.57E-16,-1.15E-15,2.39E-16,-4.43E-15,4.58E-16,-2.38E-15,2.24E-15,0.46896,-7.60E-16,-0.666666667,2.51E-16,0,0,0,0,0,0,5.55E-17,-8.85E-16,2.44E-16,2.41E-15,-3.73E-15,-4.71E-15,1.49E-15,1.16E-15,-4.06E-16,3.57E-15,-4.30E-17,3.15E-16,0.666666667,0.666666667,-2.440466667,-1.383,-1.537,-3.87E-17,2.40E-18,0,0,0,-4.20E-48,0,0,0,0,0,0.666666667
pi_star_,0.004998,-0.24309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56E-17,1.01E-16,0.00E+00,1.03E-15,3.55E-16,-1.82E-16,2.16E-17,-7.42E-18,4.41E-15,-2.25E-16,-1.26E-15,5.85E-16,-2.73E-16,-1.224333333,-0.50764,0.781933333,-4.45E-16,-1.76E-15,-3.16E-15,4.96E-16,-1.93E-16,2.29E-15,-2.82E-17,2.42E-16,-3.23E-16,0,7.63E-16,-6.14E-16,2.04E-16,-4.74E-15,5.26E-16,-1.56E-15,1.57E-15,-4.97E-16,1.39E-16,0,-7.12E-17,0,0,0,0,0,0,7.05E-17,-5.73E-16,1.16E-16,3.52E-15,-1.87E-15,-3.19E-15,9.02E-16,8.24E-16,-2.95E-16,2.43E-15,-4.45E-17,3.05E-16,-3.62E-16,-1.74E-16,-1.2732,0.913266667,-0.60096,2.19E-18,1.39E-18,0,0,0,-5.74E-48,0,0,0,0,0,0
R_star_,1.4325,0.74768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10E-17,1.83E-17,0.00E+00,1.62E-16,-6.13E-17,4.39E-17,4.13E-17,-2.69E-18,6.55E-16,-3.55E-17,-1.69E-16,8.43E-17,-6.97E-17,0.412113333,-0.09812,0.12002,-5.64E-17,-2.15E-16,-3.81E-16,8.95E-17,-2.91E-17,3.33E-16,-6.01E-18,4.27E-17,-3.80E-17,0,7.13E-17,-4.69E-17,-3.90E-17,-6.69E-16,8.92E-17,-1.93E-16,1.92E-16,-2.15E-16,2.04E-17,0,6.12E-17,0,0,0,0,0,0,2.02E-17,-8.88E-17,2.65E-17,1.11E-15,-4.94E-16,-4.64E-16,1.18E-16,1.40E-16,-5.65E-17,4.33E-16,-7.10E-18,5.12E-17,-5.15E-17,-3.89E-16,0.428546667,0.14018,-0.11616,8.68E-18,1.77E-19,0,0,0,-1.06E-48,0,0,0,0,0,0
dE_,0.028177,0.3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.54E-03,3.72E-03,0.00E+00,-0.011956667,-1.34E-03,-2.46E-02,-3.39E-17,9.09E-05,-1.05E-01,-8.38E-03,-6.90E-04,1.45E-04,-7.71E-03,-0.017558667,-0.033826,0.035309333,-2.60E-04,1.69E-02,-1.16E-01,-1.31E-03,-9.18E-04,-2.68E-03,-1.67E-04,-2.12E-05,1.26E-03,0,1.13E-02,1.19E-03,-4.32E-04,-2.90E-02,-1.97E-05,-9.73E-03,-6.81E-03,4.00E-02,-9.84E-02,0,8.22E-03,0,0,0,0,0,0,9.27E-03,-3.73E-04,4.56E-03,-1.16E-01,2.39E-02,-1.18E-01,-2.09E-03,-1.00E-02,-1.53E-03,-2.77E-03,-2.68E-04,-2.72E-05,1.37E-03,5.69E-02,-0.018258667,0.041238667,-0.040044667,1.24E-09,-6.15E-06,0,0.666666667,0,2.55E-38,0,0,0,0,0,0
dS_,0.29152,4.5903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126633333,-0.055252,0,-0.133113333,0.235206667,-0.132606667,-1.63E-15,3.26E-03,-3.7432,-0.40274,-0.290986667,-0.035508667,0.355533333,3.3402,-0.3445,1.3942,6.72E-04,1.8018,-0.527213333,0.115033333,0.024228,0.365193333,-3.54E-03,-0.010177333,-0.314626667,0,-0.030940667,0.003951333,0.013758,-0.791533333,-0.032414667,0.221866667,0.346353333,0.20388,2.10E-16,0,-0.031060667,0,0,0,0,0,0,-0.03506,9.64E-04,-0.067793333,-4.144933333,2.556466667,-0.537353333,0.18348,0.148986667,0.040318667,0.377113333,-5.66E-03,-0.013046,-0.343933333,0.289833333,3.4734,1.628333333,-0.407826667,3.23E-08,3.13E-04,0,0,0,3.74E-34,0,0,0,0,0,0
dw_,1.0627,1.2864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.82E-04,2.30E-03,0,0.303066667,1.51E-04,6.49E-03,-3.10E-16,9.82E-06,-0.01129,5.23E-03,0.006990667,9.92E-04,-0.006926667,-0.040052667,-0.008596,-0.021919333,1.00E-03,-6.54E-03,0.017011333,0.09506,1.94E-04,-0.023344667,1.25E-04,2.22E-04,0.007253333,0,4.59E-03,1.57E-03,0.00822,0.030453333,6.26E-04,-2.50E-03,-0.058686667,0.443393333,9.41E-16,0,-4.65E-03,0,0,0,0,0,0,-5.25E-03,1.43E-03,2.83E-03,-0.012502,-0.009277333,0.017338,0.15162,0.366,3.23E-04,-0.024106667,2.00E-04,2.84E-04,0.007929333,0.63032,-0.041649333,-0.0256,-0.010176,1.04E-08,5.49E-04,0.666666667,0,0,-7.11E-36,0,0,0,0,0,0
y,0.029842,-0.47404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010278,0.083786667,0,-0.059080667,-0.007634667,0.017722,4.92E-17,2.64E-04,-0.303806667,-6.13E-03,0.117953333,0.019996,-0.194346667,-0.8604,-0.494633333,-0.03268,4.43E-03,0.04541,0.039118,-2.79E-03,-5.36E-03,-0.051632667,-5.38E-06,1.04E-03,0.143413333,0,0.212966667,0.031600667,-0.011522,0.042857333,0.008942,-0.121593333,-0.06844,-0.036433333,6.73E-17,0,0.037506,0,0,0,0,0,0,0.042334667,6.35E-03,0.102806667,-0.336413333,0.064429333,0.03987,-0.004445333,-0.1054,-0.008922667,-0.053318,-8.60E-06,1.33E-03,0.156766667,-0.051793333,-0.894733333,-0.038167333,-0.58556,-7.28E-08,-6.18E-05,0,0,0,-1.04E-34,0,0,0,0,0,0
g,0,1.0501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.70E-20,0.543333333,0,9.82E-21,1.94E-20,2.14E-20,-1.55E-20,9.60E-21,-9.73E-20,-4.98E-21,2.26E-20,1.23E-20,1.84E-21,1.04E-18,1.04E-18,1.42E-19,4.43E-20,-3.38E-19,-2.27E-17,2.32E-18,-2.02E-18,-1.17E-18,-1.32E-19,-6.18E-19,1.29E-18,0,-6.09E-21,6.61E-21,3.53E-21,4.61E-20,7.75E-21,1.80E-21,2.68E-21,-6.64E-20,2.14E-20,0,2.44E-21,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0.00E+00,0,0,0,0,0,0
