var,y_s,last_y,imp,ex,q,c_m,i_m,i_d,pi_i,mc_d,mc_mc,mc_mi,u,H,gamma_cd,gamma_id,gamma_f,i_c,i_y,i_w,R_,pi_c_,pi_cbar_,pi_i_,pi_d_,dy_,dc_,di_,dimp_,dex_,dy_star_,pi_star_,R_star_,dE_,dS_,dw_,y,g,pi_cbar,pi_c,mc_x,kbar,k,x,R,a,gamma_mcd,gamma_mid,gamma_xstar,R_star,e_ystar,e_pistar,e_i,e_a,e_z,e_H,lambda_x,lambda_d,lambda_mc,lambda_mi,z_tildestar,AUX_ENDO_LAG_25_1,c,i,pi_d,pi_mc,pi_mi,pi_x,w,mu_z,E,y_star,e_c,i_k,r_k,P_k,dS,psi_z,pi_star,eps_c,eps_i,eps_g,eps_r,eps_a,eps_z,eps_H,eps_pi_cbar,eps_x,eps_d,eps_mc,eps_mi,eps_z_tildestar,eps_mu_z,eps_Rstar,eps_pistar,eps_ystar,eps_i_k,eps_i_y,me_w,me_E,me_pi_d,me_pi_i,me_y,me_c,me_i,me_imp,me_ex,me_ystar
pi_cbar,0,-0.030355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_c,0.012098,0.020156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.94E-03,0.008616,0,0.114913333,-1.87E-03,-0.0808,-5.62E-17,7.56E-05,-0.08688,-1.71E-03,0.006602,2.01E-03,-0.022446,-0.0908,-0.059284667,0.008843333,4.29E-04,0.012915333,-0.35874,0.054304,-7.75E-04,0.257866667,5.52E-04,2.16E-04,0.014159333,0,0.022002,3.22E-03,0.025212667,0.22526,1.11E-03,-0.016895333,0.244046667,0.068393333,3.07E-16,0,2.37E-03,0,0,0,0,0,0,2.67E-03,6.15E-04,0.010572,-0.096206667,0.018324667,-0.36564,0.086613333,0.326593333,-1.29E-03,0.266286667,8.82E-04,2.77E-04,0.015478,0.097226667,-0.09442,0.010328667,-0.07018,3.14E-08,2.20E-04,0,0,0,-1.14E-35,0,0,0,0,0,0
mc_x,0,-3.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107546667,0.058303333,0,0.27616,0.404293333,5.47E-03,-6.01E-16,-2.77E-03,3.179066667,0.346253333,0.25776,0.032663333,-0.318,-2.976466667,0.243013333,-1.213933333,2.92E-04,-1.607333333,-0.022102,-0.029053333,-0.046112667,0.031114667,0.002965333,0.008550667,0.281933333,0,0.056502667,1.40E-03,0.024458667,0.687533333,0.028436667,-0.64952,0.032065333,-0.08884,1.62E-15,0,0.028563333,0,0,0,0,0,0,0.032241333,4.18E-04,0.07154,3.520266667,-2.2806,-0.022526667,-0.046339333,0.294566667,-0.07674,0.032130667,4.74E-03,0.01096,0.3082,-0.126293333,-3.095133333,-1.4178,0.287686667,1.72E-08,2.89E-05,0,0,0,-3.28E-34,0,0,0,0,0,0
kbar,-2.27E-01,4.96E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.63E-04,-1.62E-04,0,6.04E-05,1.86E-04,0.652213333,1.26E-16,4.20E-06,-4.83E-03,1.97E-03,1.16E-03,-1.33E-03,2.78E-04,-0.002968667,3.72E-03,-0.009081333,0.009820667,-2.87E-03,-5.60E-03,7.46E-04,-3.09E-06,6.75E-04,2.94E-05,-3.39E-04,1.17E-03,0,-1.01E-03,0.009732,-4.88E-05,5.21E-03,-1.21E-03,4.84E-05,0.000911333,-0.457453333,9.28E-17,0,-1.33E-03,0,0,0,0,0,0,-1.50E-03,0.014077333,-1.99E-04,-5.35E-03,-4.07E-03,-5.71E-03,1.19E-03,-1.36E-04,-5.15E-06,6.97E-04,4.71E-05,-4.34E-04,1.28E-03,-0.650313333,-3.09E-03,-0.010606,4.41E-03,-3.63E-11,8.23E-07,0,0,0,1.41E-35,0,0,0,0,0,0
k,-0.22694,1.0744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.68E-09,8.77E-08,0,5.93E-08,-6.52E-09,0.666666667,-1.99E-17,2.23E-10,-2.57E-07,-1.87E-09,1.27E-07,2.13E-08,-2.02E-07,-9.08E-07,-5.05E-07,-5.97E-08,5.48E-09,3.22E-08,-2.51E-07,1.16E-08,-4.75E-09,-4.70E-07,-7.88E-11,1.03E-09,1.52E-07,0,2.22E-07,3.39E-08,-4.39E-08,2.01E-08,9.25E-09,-1.19E-07,1.61E-07,4.42E-07,8.17E-17,0,3.57E-08,0,0,0,0,0,0,4.03E-08,7.86E-09,1.08E-07,-2.84E-07,4.57E-08,-2.56E-07,1.84E-08,-2.22E-07,-7.90E-09,-4.86E-07,-1.26E-10,1.32E-09,1.66E-07,6.28E-07,-9.44E-07,-6.97E-08,-5.98E-07,-4.29E-07,1.45E-10,0,0,0,1.76E-39,0,0,0,0,0,0
x,3.30E-03,7.45E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123746667,-6.36E-02,0.00E+00,-0.24428,-4.30E-01,-5.43E-02,7.18E-16,3.18E-03,-3.66E+00,-4.01E-01,-5.44E-01,-3.74E-02,-2.89E-01,2.203066667,-7.95E-01,2.17E+00,2.64E-04,1.79E+00,-1.80E-01,6.24E-02,2.50E-02,0.115466667,-4.11E-03,-1.04E-02,-3.28E-01,0,-5.22E-02,8.45E-04,-1.06E-02,-1.03E+00,-3.35E-02,2.38E-01,1.10E-01,1.37E-01,-1.67E-15,0,-3.33E-02,0,0,0,0,0,0,-3.76E-02,3.79E-04,-7.80E-02,-4.05E+00,2.54E+00,-1.83E-01,9.95E-02,-1.69E-01,4.15E-02,1.19E-01,-6.58E-03,-1.33E-02,-3.59E-01,1.95E-01,2.29E+00,2.53E+00,-9.41E-01,1.97E-09,9.94E-05,0,0,0,3.84E-34,0,0,0,0,0,0
R,2.60E-02,-5.25E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020146667,1.48E-03,0,0.050746,-1.57E-04,-1.41E-03,-9.05E-17,-5.18E-04,0.59552,-1.31E-04,1.97E-03,3.52E-04,-3.48E-03,-0.015246,-0.008912667,-3.22E-04,7.77E-05,9.74E-04,-0.006884667,1.09E-03,-9.94E-05,4.58E-03,1.14E-05,2.06E-05,2.52E-03,0,3.76E-03,5.57E-04,3.48E-04,5.37E-03,1.62E-04,-2.24E-03,4.03E-03,8.63E-04,1.52E-16,0,6.31E-04,0,0,0,0,0,0,0.000712667,1.11E-04,1.82E-03,0.65944,1.38E-03,-0.007017333,1.74E-03,6.62E-03,-1.65E-04,4.73E-03,1.83E-05,2.65E-05,2.76E-03,1.23E-03,-0.015854,-3.76E-04,-0.010551333,-4.74E-10,3.64E-06,0,0,0,-1.86E-36,0,0,0,0,0,0
a,-3.13E-01,-3.71E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19E-04,-0.001217333,0,-0.024156,-1.59E-03,0.019346667,-1.98E-16,-2.11E-05,0.024195333,0.648786667,0.0718,0.012979333,-0.018302667,-0.33126,-0.20638,-0.104366667,-2.43E-03,0.016235333,0.0922,-0.013490667,-6.91E-04,-0.059640667,3.53E-05,6.60E-04,0.078406667,0,-0.059768667,-0.014605333,-4.95E-03,0.041414667,0.006982,-0.011882667,-0.052272,-0.007615333,-1.36E-16,0,-0.010303333,0,0,0,0,0,0,-0.01163,-3.48E-03,-1.49E-03,0.026792667,0.023035333,0.093973333,-0.021517333,-0.051564667,-1.15E-03,-0.061587333,5.65E-05,8.45E-04,0.085706667,-0.010825333,-0.344466667,-0.121893333,-0.24432,-6.21E-09,-4.72E-05,0,0,0,-8.14E-35,0,0,0,0,0,0
gamma_mcd,1.87E-03,1.75E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57E-03,-0.014208,0,-0.16938,1.36E-03,0.11416,2.78E-16,-6.61E-05,0.075973333,-4.51E-03,0.63108,-3.72E-03,0.034412,0.163746667,0.08102,0.02775,-9.18E-04,-5.48E-03,0.504553333,-0.074233333,1.76E-03,-0.3675,1.02E-03,-0.000577333,-0.030591333,0,-0.033505333,-5.01E-03,-0.038056667,0.470806667,-2.35E-03,0.030056667,-0.3512,-0.087126667,-9.00E-16,0,-4.42E-03,0,0,0,0,0,0,-4.99E-03,-1.32E-03,-0.017433333,0.084126667,-0.007782,0.51426,-0.118406667,-0.39248,2.93E-03,-0.379493333,1.62E-03,-7.40E-04,-0.033441333,-0.12386,0.170273333,0.032409333,0.095913333,-4.71E-08,-3.17E-04,0,0,0,3.09E-35,0,0,0,0,0,0
gamma_mid,0.0036388,3.6327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012034667,-0.022392,0,-0.163086667,-0.016914,0.082086667,1.91E-16,3.10E-04,-0.35574,-0.05666,-0.075933333,0.577153333,0.031488667,0.38774,-0.009932667,0.32862,-9.31E-04,0.143453333,0.374133333,-0.045342,6.08E-03,-0.27824,-0.000974667,0.033154667,-0.084006667,0,-0.036370667,-4.28E-03,-0.035064667,-0.218606667,0.299253333,0.065306667,-0.26796,-0.036790667,4.16E-16,0,-0.010214,0,0,0,0,0,0,-0.011528667,-1.34E-03,-0.027474667,-0.39392,0.203533333,0.381326667,-0.07232,-0.202073333,0.010112667,-0.28732,-1.56E-03,0.042498667,-0.091833333,-0.052301333,0.403193333,0.383806667,-0.011758667,-4.14E-08,-2.42E-04,0,0,0,-3.50E-33,0,0,0,0,0,0
gamma_xstar,-0.0039916,-4.1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015249333,0.010524667,0,0.030999333,0.024826,6.48E-03,-2.21E-16,-3.92E-04,0.45076,0.056352667,0.052254,6.15E-03,0.59468,0.712666667,0.52156,-0.963066667,-2.15E-04,-0.1796,0.014434,-5.76E-03,0.020495333,-0.010146667,7.71E-04,2.04E-03,0.057528,0,0.008136667,-3.80E-04,2.81E-04,0.16486,5.91E-03,0.400266667,-0.011768,-0.016232,2.97E-16,0,6.41E-03,0,0,0,0,0,0,0.007236,-3.08E-04,0.012913333,0.49914,-0.254826667,0.014711333,-0.009192,0.02005,0.034106667,-0.010478,1.23E-03,0.002620667,0.062886667,-0.023074667,0.741066667,-1.1248,0.61744,-1.70E-09,-1.06E-05,0,0,0,-6.80E-35,0,0,0,0,0,0
R_star,4.36E-20,-6.85E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10E-17,1.83E-17,0.00E+00,1.62E-16,-6.13E-17,4.39E-17,4.13E-17,-2.69E-18,6.55E-16,-3.55E-17,-1.69E-16,8.43E-17,-6.97E-17,0.412113333,-0.09812,0.12002,-5.64E-17,-2.15E-16,-3.81E-16,8.95E-17,-2.91E-17,3.33E-16,-6.01E-18,4.27E-17,-3.80E-17,0,7.13E-17,-4.69E-17,-3.90E-17,-6.69E-16,8.92E-17,-1.93E-16,1.92E-16,-2.15E-16,2.04E-17,0,6.12E-17,0,0,0,0,0,0,2.02E-17,-8.88E-17,2.65E-17,1.11E-15,-4.94E-16,-4.64E-16,1.18E-16,1.40E-16,-5.65E-17,4.33E-16,-7.10E-18,5.12E-17,-5.15E-17,-3.89E-16,0.428546667,0.14018,-0.11616,8.68E-18,1.77E-19,0,0,0,-1.06E-48,0,0,0,0,0,0
e_ystar,-1.90E-20,2.85E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.92E-18,2.92E-18,0.00E+00,1.62E-18,2.47E-18,3.60E-18,-1.97E-18,1.69E-18,-1.08E-18,-9.58E-19,2.29E-18,1.68E-19,-4.48E-20,1.38E-16,0.56314,2.20E-17,4.08E-18,6.77E-17,7.32E-17,-1.84E-17,-9.39E-19,8.80E-18,2.01E-18,-7.34E-19,-1.23E-17,0,1.76E-18,3.33E-18,1.48E-18,3.17E-18,-1.33E-19,-9.06E-19,2.13E-19,-1.55E-17,1.29E-18,0,1.38E-18,0,0,0,0,0,0,-8.83E-18,4.90E-18,-4.68E-19,2.30E-16,2.29E-16,-1.85E-17,-3.67E-17,1.53E-17,-1.32E-18,2.39E-17,-6.37E-19,-4.93E-18,-2.05E-17,2.37E-16,9.68E-18,-8.59E-17,0.666666667,-5.88E-18,-2.94E-20,0,0,0,6.01E-50,0,0,0,0,0,0
e_pistar,0,0.88174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39E-19,2.04E-18,0.00E+00,-1.25E-19,-1.56E-19,-2.56E-19,-2.18E-19,-3.14E-20,1.78E-18,3.77E-19,2.86E-19,2.89E-19,-1.09E-19,-3.06E-19,-5.93E-17,0.570813333,-8.54E-19,2.64E-17,-1.32E-18,1.15E-18,2.86E-18,-1.04E-17,4.12E-19,3.14E-19,-3.34E-18,0,5.25E-19,-3.79E-19,-1.08E-19,-4.31E-19,4.16E-19,2.43E-19,-2.92E-19,-6.02E-19,-5.31E-19,0,1.79E-19,0,0,0,0,0,0,-2.17E-17,2.16E-17,-2.95E-18,4.28E-16,0.00E+00,1.21E-17,-2.12E-17,-2.56E-18,-1.02E-18,8.89E-17,1.63E-19,-4.19E-18,-1.18E-17,-1.33E-16,9.60E-17,0.666666667,-4.42E-17,9.84E-18,-7.80E-20,0,0,0,-1.96E-50,0,0,0,0,0,0
e_i,0.00E+00,7.17E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40E-19,2.35E-19,0.00E+00,-8.61E-20,-1.42E-19,-1.74E-19,3.76E-20,-1.39E-20,7.74E-19,1.19E-19,-1.16E-19,-1.03E-19,-3.58E-20,-5.66E-18,-1.24E-17,-1.47E-18,0.465073333,7.69E-18,-1.44E-18,-3.28E-18,-4.55E-19,-1.10E-17,-2.51E-18,2.27E-18,-2.17E-19,0,1.81E-19,-5.97E-20,-3.91E-20,-2.75E-19,-5.09E-20,2.68E-20,-1.83E-19,2.65E-19,-2.58E-19,0,9.45E-21,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_a,0,1.1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.61E-17,-2.82E-18,0.00E+00,4.54E-18,4.78E-18,7.31E-18,-4.50E-18,2.31E-18,-6.91E-18,-3.13E-18,1.02E-17,4.95E-18,-7.25E-19,2.99E-16,1.92E-16,4.77E-17,9.11E-19,0.469866667,-1.30E-18,-4.07E-18,-9.16E-18,-3.76E-17,-9.00E-19,-2.20E-18,-4.09E-18,0,-3.01E-18,1.34E-18,3.00E-18,8.59E-18,3.39E-18,1.66E-18,6.34E-18,-2.77E-17,4.55E-18,0,2.18E-18,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.666666667,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0,0,0,0,0,0
e_z,0.00E+00,1.64E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.654086667,2.01E-17,2.65E-17,2.46E-16,-2.97E-17,3.10E-17,-1.88E-17,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_H,0,0.19418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41798,3.93E-18,5.76E-19,3.62E-18,-8.26E-19,-6.36E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.666666667,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,0.00E+00,0,0,0,0,0,0
lambda_x,0,-0.032091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400606667,2.40E-19,1.97E-18,-2.24E-18,-3.47E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lambda_d,0,1.3969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645593333,3.38E-17,-4.11E-17,1.33E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lambda_mc,0,-0.0039887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416793333,-3.42E-21,-1.15E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lambda_mi,0,0.0098356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520093333,4.67E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z_tildestar,0,-0.4395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUX_ENDO_LAG_25_1,-0.22694,1.0744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.02E-19,3.68E-20,0.00E+00,8.86E-18,0.00E+00,0.666666667,-2.33E-18,8.61E-19,-3.61E-18,1.91E-17,-1.24E-17,-2.03E-18,-1.31E-18,-3.81E-17,-3.27E-18,-2.49E-18,4.95E-19,-1.46E-17,-2.73E-20,2.35E-18,-3.64E-19,3.60E-17,8.69E-20,4.32E-19,-1.21E-17,0,1.22E-17,-3.84E-19,2.95E-18,1.30E-17,-4.60E-18,-5.48E-18,2.49E-17,1.76E-17,1.31E-17,0,1.56E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0.08965,0.076133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009169333,-0.008508,0,2.39E-03,1.84E-03,9.31E-05,2.40E-17,2.36E-04,-0.271033333,0.02105,-0.044816,4.07E-03,0.010555333,0.019055333,0.04946,-0.05343,-5.95E-03,-0.025955333,-0.161633333,0.027023333,2.50E-03,0.097226667,-1.12E-04,3.57E-03,-4.04E-03,0,0.484386667,-0.009162,-4.03E-04,-0.054175333,5.51E-03,0.019824,0.049134667,-0.068573333,6.02E-16,0,0.097933333,0,0,0,0,0,0,0.110546667,-0.00853,-0.010439333,-0.300126667,-0.036826667,-0.16474,0.043102,0.018682667,4.17E-03,0.1004,-1.79E-04,4.58E-03,-4.42E-03,-0.09748,0.019815333,-0.062402,0.058552667,8.17E-10,4.44E-05,0,0,0,-6.49E-35,0,0,0,0,0,0
i,-0.22694,-13.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009652,-0.009579333,0,3.57E-03,0.010975333,-0.186833333,3.48E-17,2.48E-04,-0.2853,0.116106667,0.068713333,-0.078686667,0.016424667,-0.175326667,0.21978,-0.53632,0.11492,-0.1696,-0.33078,0.044066667,-1.83E-04,0.039876,1.74E-03,-0.020015333,0.06924,0,-0.059440667,0.574746667,-2.88E-03,0.307453333,-0.071193333,2.86E-03,0.053822,0.21052,2.75E-15,0,-0.078686667,0,0,0,0,0,0,-0.088813333,0.164733333,-0.011754,-0.31592,-0.24064,-0.33714,0.070286667,-0.008002667,-3.04E-04,0.041177333,2.78E-03,-0.025656,0.075693333,0.299273333,-0.182313333,-0.626386667,0.260186667,-2.14E-09,4.86E-05,0,0,0,8.35E-34,0,0,0,0,0,0
pi_d,0.012098,0.094907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84E-03,0.013576,0,0.174046667,-2.34E-03,-0.120653333,-2.03E-16,9.87E-05,-0.1134,-1.35E-04,0.019024667,3.31E-03,-0.034459333,-0.14796,-0.087566667,-8.44E-04,7.49E-04,0.01483,-0.53488,0.08022,-1.39E-03,0.38616,1.97E-04,4.17E-04,0.024838667,0,0.033698667,4.97E-03,0.038498,0.060903333,1.94E-03,-0.027388,0.366653333,0.098806667,3.76E-16,0,3.91E-03,0,0,0,0,0,0,4.42E-03,0.001074,0.016658,-0.125573333,0.021041333,-0.545166667,0.127946667,0.463606667,-2.31E-03,0.398766667,3.16E-04,5.35E-04,0.027152,0.14046,-0.15386,-9.85E-04,-0.103666667,4.79E-08,3.31E-04,0,0,0,-2.22E-35,0,0,0,0,0,0
pi_mc,0.012098,-0.11922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27E-03,-6.32E-04,0,4.66E-03,-0.000986667,-6.49E-03,1.61E-16,3.26E-05,-0.037427333,-4.64E-03,-0.016560667,-4.11E-04,-4.70E-05,0.015784,-6.55E-03,0.026906,-1.69E-04,0.009344667,-0.030326,5.98E-03,3.71E-04,0.018659333,1.21E-03,-1.60E-04,-5.75E-03,0,1.93E-04,-4.57E-05,4.41E-04,0.531713333,-4.16E-04,2.67E-03,0.015451333,0.011679333,9.42E-18,0,-5.12E-04,0,0,0,0,0,0,-5.78E-04,-2.42E-04,-7.76E-04,-0.041444667,0.013258667,-0.030909333,0.009544,0.071126667,6.18E-04,0.019268667,1.94E-03,-2.05E-04,-6.29E-03,0.016603333,0.016413333,0.031424,-0.007752667,7.25E-10,1.39E-05,0,0,0,8.64E-36,0,0,0,0,0,0
pi_mi,0.012098,0.38232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015870667,-0.008816,0,0.010959333,-0.019256,-0.038566,1.42E-16,4.08E-04,-0.46914,-0.056794667,-0.05691,-0.086206667,-2.97E-03,0.23978,-0.0975,0.32778,-1.82E-04,0.15828,-0.160753333,0.034878,4.69E-03,0.10792,-7.77E-04,0.033572,-0.059169333,0,-2.67E-03,0.000692,3.43E-03,-0.157706667,0.301193333,0.037918667,0.098693333,0.062016,-2.13E-16,0,-6.30E-03,0,0,0,0,0,0,-0.007112,-2.61E-04,-0.010817333,-0.519493333,0.224573333,-0.16384,0.055629333,0.261526667,0.0078,0.11144,-1.24E-03,0.043033333,-0.064680667,0.08816,0.24934,0.38282,-0.115426667,6.42E-09,8.91E-05,0,0,0,-3.53E-33,0,0,0,0,0,0
pi_x,8.53E-19,1.69E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015249333,0.010524667,0,0.030999333,0.024826,6.48E-03,1.92E-16,-3.92E-04,0.45076,0.056352667,0.052254,6.15E-03,-0.071986667,-0.511706667,0.013919333,-0.181106667,-2.15E-04,-0.1796,0.014434,-5.76E-03,0.020495333,-0.010146667,7.71E-04,2.04E-03,0.057528,0,0.008136667,-3.80E-04,2.81E-04,0.16486,5.91E-03,0.400266667,-0.011768,-0.016232,1.31E-15,0,6.41E-03,0,0,0,0,0,0,0.007236,-3.08E-04,0.012913333,0.49914,-0.254826667,0.014711333,-0.009192,0.02005,0.034106667,-0.010478,1.23E-03,0.002620667,0.062886667,-0.023074667,-0.532106667,-0.21152,0.016478667,-1.70E-09,-1.06E-05,0,0,0,-6.80E-35,0,0,0,0,0,0
